student_id,study_hours_per_week,sleep_hours_per_night,attendance_rate,practice_problems_per_week,prior_programming_experience,study_group,commute_minutes,quiz_average,exam_score
S141,9.4,7.0,82.8,13,Some,No,31,92.5,85.0
S142,9.3,7.6,92.6,16,None,Yes,29,71.0,78.9
S143,8.8,,81.6,14,Some,Yes,0,75.2,72.5
S144,9.1,7.8,96.6,16,Some,No,2,88.1,97.5
S145,5.5,,84.5,13,Some,No,0,67.4,64.3
S146,11.6,8.8,81.7,22,None,Yes,26,86.8,94.2
S147,0.3,6.4,80.5,18,Some,No,16,60.4,57.4
S148,6.3,8.2,83.2,13,Some,No,20,80.1,80.8
S149,5.2,8.5,99.1,0,None,Yes,48,53.1,65.6
S150,9.8,,94.2,20,Some,Yes,10,88.6,89.3
S151,8.1,7.0,88.8,15,None,Yes,47,76.3,75.2
S152,8.3,5.5,100,25,Some,Yes,50,85.1,82.4
S153,7.8,6.7,92.2,22,Strong,Yes,16,86.2,92.8
S154,,5.6,79.7,8,Some,Yes,16,81.6,69.5
S155,11.8,6.2,86.3,15,Strong,Yes,49,93.7,87.9
S156,7.3,6.2,96.9,12,Some,Yes,27,77.3,67.2
S157,7.5,6.9,91.9,23,None,Yes,21,74.0,71.1
S158,12.9,5.9,71.3,9,Some,No,8,90.3,72.4
S159,,6.9,87.9,17,None,Yes,29,70.6,82.2
S160,3.3,7.4,72.0,0,Strong,No,30,60.2,57.2
S161,9.4,7.4,91.4,18,Some,No,12,76.6,73.5
S162,7.0,5.4,88.5,18,None,Yes,21,82.2,74.4
S163,6.6,4.3,75.9,17,,Yes,61,79.7,75.4
S164,7.4,8.4,81.2,16,None,Yes,31,77.1,78.2
S165,3.7,7.7,78.9,25,Some,No,0,67.9,74.5
S166,2.6,7.7,86.1,19,Some,No,19,72.8,68.9
S167,7.0,6.6,76.0,16,None,Yes,26,65.4,56.9
S168,11.8,7.2,100,19,Some,Yes,24,98.3,97.2
S169,12.3,8.0,93.2,21,Some,Yes,24,94.1,96.8
S170,9.4,7.5,98.3,19,None,No,45,69.7,79.6
S171,7.6,6.7,80.7,30,Some,No,11,72.7,82.0
S172,7.8,5.6,78.8,22,Some,Yes,49,74.1,86.4
S173,6.3,4.8,78.9,14,Some,Yes,66,68.8,67.4
S174,17.8,6.9,98.1,0,Strong,Yes,36,78.3,64.8
S175,10.4,7.0,72.9,22,None,Yes,11,87.4,74.8
S176,12.7,7.3,74.0,13,None,No,15,82.4,73.0
S177,8.9,8.3,76.0,35,None,No,9,79.8,86.1
S178,5.3,6.0,68.9,26,Some,No,38,76.7,70.7
S179,9.7,6.2,89.7,33,None,Yes,41,84.1,79.2
S180,7.1,6.0,83.2,25,None,No,0,65.6,62.7
S181,4.3,7.1,76.7,4,Some,Yes,13,62.4,62.3
S182,7.7,7.8,81.2,8,Some,No,12,90.1,74.8
S183,9.4,6.3,98.4,13,Strong,No,40,86.8,84.9
S184,5.7,6.2,85.4,12,Some,No,9,81.9,75.1
S185,,,79.6,9,Some,Yes,8,73.2,71.5
S186,,9.0,78.4,8,None,Yes,49,72.0,75.3
S187,7.3,5.6,99.0,35,Some,No,26,92.6,91.2
S188,6.0,5.8,99.1,12,Strong,Yes,1,92.4,78.7
S189,9.6,7.7,65.9,13,None,Yes,9,69.8,72.6
S190,13.7,7.5,91.3,9,Some,No,59,100,89.5
S191,4.2,8.5,98.0,20,Some,No,9,77.8,81.7
S192,10.9,6.5,72.1,0,Some,No,0,77.9,80.1
S193,10.2,7.0,81.4,5,,No,67,73.1,66.6
S194,7.2,6.9,100,25,None,No,6,83.5,80.8
S195,5.0,7.5,88.9,6,Some,Yes,0,82.9,72.5
S196,12.5,6.7,99.3,17,None,Yes,44,100,89.7
S197,7.0,6.3,98.3,3,None,No,39,73.2,80.5
S198,6.2,4.6,82.0,11,None,No,47,69.2,69.1
S199,7.4,5.2,99.7,13,None,No,2,80.7,83.9
S200,5.1,7.1,80.8,17,None,Yes,20,66.5,59.1
S201,4.3,6.8,83.7,23,None,Yes,6,67.9,72.3
S202,5.9,7.9,74.6,13,None,Yes,15,56.5,60.7
S203,7.2,,79.1,18,Some,Yes,23,81.2,80.3
S204,7.8,5.5,87.7,17,Some,Yes,29,72.7,75.2
S205,11.0,9.1,100,22,None,Yes,30,88.0,96.3
S206,5.9,6.6,75.8,10,None,Yes,0,68.3,55.9
S207,4.5,7.5,83.5,14,Some,No,41,79.4,72.4
S208,9.1,5.8,82.0,2,None,No,45,67.9,69.9
S209,11.4,5.2,77.1,18,Strong,Yes,28,95.9,92.6
S210,6.3,7.8,86.3,11,Some,Yes,7,80.3,75.9
S211,5.5,5.4,77.4,27,Some,No,10,65.4,69.5
S212,8.5,7.2,83.2,16,Strong,Yes,42,90.6,90.4
S213,6.3,7.5,79.1,36,Strong,Yes,26,87.2,82.1
S214,3.7,6.8,79.6,40,Strong,No,13,75.1,83.3
S215,1.5,8.1,72.6,8,,No,14,62.6,53.6
S216,9.0,7.6,100,15,Strong,No,13,96.4,99.0
S217,6.4,7.3,88.6,11,Some,No,19,78.3,77.0
S218,6.7,8.3,93.1,23,None,Yes,48,87.4,85.5
S219,9.6,7.7,91.4,10,Some,No,36,68.3,70.9
S220,7.3,8.9,81.2,24,None,No,25,75.3,77.8
S221,5.6,7.6,74.6,39,Strong,No,48,97.9,85.9
S222,7.4,7.3,89.5,21,None,Yes,14,75.1,76.8
S223,9.5,5.8,70.9,22,Strong,No,27,82.0,74.6
S224,16.2,8.1,84.7,13,Some,No,18,83.4,100
S225,6.2,7.5,83.6,31,Strong,No,6,80.2,86.5
S226,12.4,6.5,84.3,0,Some,Yes,41,70.5,78.6
S227,2.2,7.7,86.7,7,Some,No,21,64.7,68.9
S228,11.4,8.3,95.4,16,Some,Yes,8,84.5,89.2
S229,6.8,8.1,96.2,11,None,No,17,73.5,61.5
S230,13.1,5.4,84.9,32,None,No,10,86.1,91.0
S231,5.3,6.7,91.0,15,Strong,Yes,10,72.5,63.1
S232,5.1,7.1,93.4,15,Strong,No,40,84.5,96.5
S233,11.8,6.3,77.7,8,Some,Yes,31,88.7,79.2
S234,4.1,6.0,100,8,None,No,47,61.8,66.7
S235,10.9,5.8,64.5,23,None,No,24,90.2,74.1
S236,9.7,7.1,92.3,18,Some,Yes,36,93.3,89.8
S237,3.7,6.6,88.6,10,None,No,24,63.5,57.4
S238,8.0,6.0,99.8,7,Strong,No,35,81.6,84.2
S239,9.8,7.4,79.6,22,Some,No,39,83.9,85.2
S240,3.7,9.1,73.0,30,None,No,0,62.1,65.2
S241,10.4,6.6,91.2,20,Some,No,0,75.3,74.1
S242,,7.2,97.6,9,Some,No,12,71.4,70.0
S243,9.2,8.8,92.5,16,Some,Yes,0,76.1,78.3
S244,7.4,7.4,93.6,30,Some,No,29,73.8,88.2
S245,6.7,6.0,100,16,Some,No,52,86.8,90.0
S246,3.6,7.1,89.4,18,None,No,15,57.7,59.1
S247,7.4,6.2,97.8,20,None,No,26,71.7,67.7
S248,7.9,7.8,74.0,23,Some,No,39,70.0,79.8
S249,8.1,8.3,73.7,25,Some,No,34,80.5,82.8
S250,4.9,5.4,81.7,22,None,Yes,18,57.9,59.7
